Start,Finish,Steps (count)
02-Jul-2015 12:00,02-Jul-2015 13:00,344.0
02-Jul-2015 13:00,02-Jul-2015 14:00,412.0
02-Jul-2015 14:00,02-Jul-2015 15:00,444.005744757904
02-Jul-2015 15:00,02-Jul-2015 16:00,337.994255242096
02-Jul-2015 16:00,02-Jul-2015 17:00,181.345691572566
02-Jul-2015 17:00,02-Jul-2015 18:00,116.654308427434
02-Jul-2015 18:00,02-Jul-2015 19:00,0.0
02-Jul-2015 19:00,02-Jul-2015 20:00,500.0
02-Jul-2015 20:00,02-Jul-2015 21:00,28.0
02-Jul-2015 21:00,02-Jul-2015 22:00,0.0
02-Jul-2015 22:00,02-Jul-2015 23:00,0.0
02-Jul-2015 23:00,03-Jul-2015 00:00,0.0
03-Jul-2015 00:00,03-Jul-2015 01:00,0.0
03-Jul-2015 01:00,03-Jul-2015 02:00,0.0
03-Jul-2015 02:00,03-Jul-2015 03:00,0.0
03-Jul-2015 03:00,03-Jul-2015 04:00,0.0
03-Jul-2015 04:00,03-Jul-2015 05:00,0.0
03-Jul-2015 05:00,03-Jul-2015 06:00,0.0
03-Jul-2015 06:00,03-Jul-2015 07:00,0.0
03-Jul-2015 07:00,03-Jul-2015 08:00,0.0
03-Jul-2015 08:00,03-Jul-2015 09:00,2865.07712662466
03-Jul-2015 09:00,03-Jul-2015 10:00,1851.54981846525
03-Jul-2015 10:00,03-Jul-2015 11:00,312.373054910086
03-Jul-2015 11:00,03-Jul-2015 12:00,225.0
03-Jul-2015 12:00,03-Jul-2015 13:00,343.0
03-Jul-2015 13:00,03-Jul-2015 14:00,0.0
03-Jul-2015 14:00,03-Jul-2015 15:00,155.20118604034
03-Jul-2015 15:00,03-Jul-2015 16:00,169.402166431114
03-Jul-2015 16:00,03-Jul-2015 17:00,38.3966475285466
03-Jul-2015 17:00,03-Jul-2015 18:00,11.0
03-Jul-2015 18:00,03-Jul-2015 19:00,0.0
03-Jul-2015 19:00,03-Jul-2015 20:00,0.0
03-Jul-2015 20:00,03-Jul-2015 21:00,0.0
03-Jul-2015 21:00,03-Jul-2015 22:00,0.0
03-Jul-2015 22:00,03-Jul-2015 23:00,0.0
03-Jul-2015 23:00,04-Jul-2015 00:00,0.0
04-Jul-2015 00:00,04-Jul-2015 01:00,0.0
04-Jul-2015 01:00,04-Jul-2015 02:00,0.0
04-Jul-2015 02:00,04-Jul-2015 03:00,0.0
04-Jul-2015 03:00,04-Jul-2015 04:00,0.0
04-Jul-2015 04:00,04-Jul-2015 05:00,0.0
04-Jul-2015 05:00,04-Jul-2015 06:00,0.0
04-Jul-2015 06:00,04-Jul-2015 07:00,0.0
04-Jul-2015 07:00,04-Jul-2015 08:00,0.0
04-Jul-2015 08:00,04-Jul-2015 09:00,0.0
04-Jul-2015 09:00,04-Jul-2015 10:00,0.0
04-Jul-2015 10:00,04-Jul-2015 11:00,22.0
04-Jul-2015 11:00,04-Jul-2015 12:00,0.0
04-Jul-2015 12:00,04-Jul-2015 13:00,35.0
04-Jul-2015 13:00,04-Jul-2015 14:00,0.0
04-Jul-2015 14:00,04-Jul-2015 15:00,41.0
04-Jul-2015 15:00,04-Jul-2015 16:00,0.0
04-Jul-2015 16:00,04-Jul-2015 17:00,0.0
04-Jul-2015 17:00,04-Jul-2015 18:00,0.0
04-Jul-2015 18:00,04-Jul-2015 19:00,0.0
04-Jul-2015 19:00,04-Jul-2015 20:00,0.0
04-Jul-2015 20:00,04-Jul-2015 21:00,0.0
04-Jul-2015 21:00,04-Jul-2015 22:00,0.0
04-Jul-2015 22:00,04-Jul-2015 23:00,0.0
04-Jul-2015 23:00,05-Jul-2015 00:00,0.0
05-Jul-2015 00:00,05-Jul-2015 01:00,0.0
05-Jul-2015 01:00,05-Jul-2015 02:00,0.0
05-Jul-2015 02:00,05-Jul-2015 03:00,0.0
05-Jul-2015 03:00,05-Jul-2015 04:00,0.0
05-Jul-2015 04:00,05-Jul-2015 05:00,0.0
05-Jul-2015 05:00,05-Jul-2015 06:00,0.0
05-Jul-2015 06:00,05-Jul-2015 07:00,0.0
05-Jul-2015 07:00,05-Jul-2015 08:00,101.0
05-Jul-2015 08:00,05-Jul-2015 09:00,530.175796210107
05-Jul-2015 09:00,05-Jul-2015 10:00,1768.67126688791
05-Jul-2015 10:00,05-Jul-2015 11:00,1115.15293690198
05-Jul-2015 11:00,05-Jul-2015 12:00,535.175999573111
05-Jul-2015 12:00,05-Jul-2015 13:00,552.824000426889
05-Jul-2015 13:00,05-Jul-2015 14:00,0.0
05-Jul-2015 14:00,05-Jul-2015 15:00,0.0
05-Jul-2015 15:00,05-Jul-2015 16:00,501.842799327581
05-Jul-2015 16:00,05-Jul-2015 17:00,571.388399529775
05-Jul-2015 17:00,05-Jul-2015 18:00,217.768801142645
05-Jul-2015 18:00,05-Jul-2015 19:00,59.0
05-Jul-2015 19:00,05-Jul-2015 20:00,69.0
05-Jul-2015 20:00,05-Jul-2015 21:00,0.0
05-Jul-2015 21:00,05-Jul-2015 22:00,0.0
05-Jul-2015 22:00,05-Jul-2015 23:00,0.0
05-Jul-2015 23:00,06-Jul-2015 00:00,0.0
06-Jul-2015 00:00,06-Jul-2015 01:00,0.0
06-Jul-2015 01:00,06-Jul-2015 02:00,0.0
06-Jul-2015 02:00,06-Jul-2015 03:00,0.0
06-Jul-2015 03:00,06-Jul-2015 04:00,0.0
06-Jul-2015 04:00,06-Jul-2015 05:00,0.0
06-Jul-2015 05:00,06-Jul-2015 06:00,0.0
06-Jul-2015 06:00,06-Jul-2015 07:00,0.0
06-Jul-2015 07:00,06-Jul-2015 08:00,0.0
06-Jul-2015 08:00,06-Jul-2015 09:00,0.0
06-Jul-2015 09:00,06-Jul-2015 10:00,4189.0
06-Jul-2015 10:00,06-Jul-2015 11:00,1219.0
06-Jul-2015 11:00,06-Jul-2015 12:00,334.0
06-Jul-2015 12:00,06-Jul-2015 13:00,220.0
06-Jul-2015 13:00,06-Jul-2015 14:00,0.0
06-Jul-2015 14:00,06-Jul-2015 15:00,58.0
06-Jul-2015 15:00,06-Jul-2015 16:00,0.0
06-Jul-2015 16:00,06-Jul-2015 17:00,0.0
06-Jul-2015 17:00,06-Jul-2015 18:00,0.0
06-Jul-2015 18:00,06-Jul-2015 19:00,0.0
06-Jul-2015 19:00,06-Jul-2015 20:00,0.0
06-Jul-2015 20:00,06-Jul-2015 21:00,0.0
06-Jul-2015 21:00,06-Jul-2015 22:00,0.0
06-Jul-2015 22:00,06-Jul-2015 23:00,0.0
06-Jul-2015 23:00,07-Jul-2015 00:00,0.0
07-Jul-2015 00:00,07-Jul-2015 01:00,0.0
07-Jul-2015 01:00,07-Jul-2015 02:00,0.0
07-Jul-2015 02:00,07-Jul-2015 03:00,0.0
07-Jul-2015 03:00,07-Jul-2015 04:00,0.0
07-Jul-2015 04:00,07-Jul-2015 05:00,0.0
07-Jul-2015 05:00,07-Jul-2015 06:00,0.0
07-Jul-2015 06:00,07-Jul-2015 07:00,0.0
07-Jul-2015 07:00,07-Jul-2015 08:00,0.0
07-Jul-2015 08:00,07-Jul-2015 09:00,330.0
07-Jul-2015 09:00,07-Jul-2015 10:00,792.0
07-Jul-2015 10:00,07-Jul-2015 11:00,1261.44004810399
07-Jul-2015 11:00,07-Jul-2015 12:00,2011.55995189601
07-Jul-2015 12:00,07-Jul-2015 13:00,0.0
07-Jul-2015 13:00,07-Jul-2015 14:00,82.0
07-Jul-2015 14:00,07-Jul-2015 15:00,664.73074576434
07-Jul-2015 15:00,07-Jul-2015 16:00,648.26925423566
07-Jul-2015 16:00,07-Jul-2015 17:00,8.0
07-Jul-2015 17:00,07-Jul-2015 18:00,48.0
07-Jul-2015 18:00,07-Jul-2015 19:00,0.0
07-Jul-2015 19:00,07-Jul-2015 20:00,0.0
07-Jul-2015 20:00,07-Jul-2015 21:00,0.0
07-Jul-2015 21:00,07-Jul-2015 22:00,0.0
07-Jul-2015 22:00,07-Jul-2015 23:00,0.0
07-Jul-2015 23:00,08-Jul-2015 00:00,0.0
08-Jul-2015 00:00,08-Jul-2015 01:00,0.0
08-Jul-2015 01:00,08-Jul-2015 02:00,0.0
08-Jul-2015 02:00,08-Jul-2015 03:00,0.0
08-Jul-2015 03:00,08-Jul-2015 04:00,0.0
08-Jul-2015 04:00,08-Jul-2015 05:00,0.0
08-Jul-2015 05:00,08-Jul-2015 06:00,0.0
08-Jul-2015 06:00,08-Jul-2015 07:00,0.0
08-Jul-2015 07:00,08-Jul-2015 08:00,0.0
08-Jul-2015 08:00,08-Jul-2015 09:00,0.0
08-Jul-2015 09:00,08-Jul-2015 10:00,2279.06601076088
08-Jul-2015 10:00,08-Jul-2015 11:00,1723.93398923913
08-Jul-2015 11:00,08-Jul-2015 12:00,0.0
08-Jul-2015 12:00,08-Jul-2015 13:00,434.0
08-Jul-2015 13:00,08-Jul-2015 14:00,94.0
08-Jul-2015 14:00,08-Jul-2015 15:00,0.0
08-Jul-2015 15:00,08-Jul-2015 16:00,0.0
08-Jul-2015 16:00,08-Jul-2015 17:00,137.0
08-Jul-2015 17:00,08-Jul-2015 18:00,676.0
08-Jul-2015 18:00,08-Jul-2015 19:00,26.0
08-Jul-2015 19:00,08-Jul-2015 20:00,475.782936033888
08-Jul-2015 20:00,08-Jul-2015 21:00,354.217063966112
08-Jul-2015 21:00,08-Jul-2015 22:00,0.0
08-Jul-2015 22:00,08-Jul-2015 23:00,0.0
08-Jul-2015 23:00,09-Jul-2015 00:00,0.0
09-Jul-2015 00:00,09-Jul-2015 01:00,0.0
09-Jul-2015 01:00,09-Jul-2015 02:00,0.0
09-Jul-2015 02:00,09-Jul-2015 03:00,0.0
09-Jul-2015 03:00,09-Jul-2015 04:00,0.0
09-Jul-2015 04:00,09-Jul-2015 05:00,0.0
09-Jul-2015 05:00,09-Jul-2015 06:00,0.0
